Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [okbooks],Price [okbooks],In stock [okbooks],Low stock [okbooks]
คลิปดำ-ตรา-elfen-bc-30-111(144ชิ้น),12610,คลิปดำ ตรา elfen BC-30 111(144ชิ้น),เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,324.00,,
คลิปดำ-ตราช้าง-no.e108,11340,คลิปดำ ตราช้าง No.E108,เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,7.00,,
คลิปดำ-ตราช้าง-no.e109,11339,คลิปดำ ตราช้าง No.E109,เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,5.00,,
คลิปดำ-ตราช้าง-no.e109(12ชิ้น),11331,คลิปดำ ตราช้าง No.E109(12ชิ้น),เครื่องเขียน,,N,,,,,,,0.00,8851907264901,,,N,Y,55.00,,
คลิปดำ-ตราช้าง-no.e110,11338,คลิปดำ ตราช้าง No.E110,เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,4.00,,
คลิปดำ-ตราช้าง-no.e110(12ชิ้น),11332,คลิปดำ ตราช้าง No.E110(12ชิ้น),เครื่องเขียน,,N,,,,,,,0.00,8851907124014,,,N,Y,40.00,,
คลิปดำ-ตราช้าง-no.e111,11337,คลิปดำ ตราช้าง No.E111,เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,3.00,,
คลิปดำ-ตราช้าง-no.e111(12ชิ้น),11333,คลิปดำ ตราช้าง No.E111(12ชิ้น),เครื่องเขียน,,N,,,,,,,14.00,8851907264888,,,N,Y,30.00,,
คลิปดำ-ตราช้าง-no.e111(144ชิ้น),11336,คลิปดำ ตราช้าง No.E111(144ชิ้น),เครื่องเขียน,,N,,,,,,,168.00,,,,N,Y,324.00,,
คลิปดำ-ตราช้าง-no.e112(12ชิ้น),11334,คลิปดำ ตราช้าง No.E112(12ชิ้น),เครื่องเขียน,,N,,,,,,,10.50,8851907264871,,,N,Y,20.00,,
คลิปดำ-ตราช้าง-no.e112(144ชิ้น),11335,คลิปดำ ตราช้าง No.E112(144ชิ้น),เครื่องเขียน,,N,,,,,,,126.00,28851907264875,,,N,Y,216.00,,
คลิปบอร์ด--a4-พลาสติก-m-tec,12598,คลิปบอร์ด  A4 พลาสติก M-Tec,เครื่องเขียน,,N,,,,,,,22.00,8858201013310,,,N,Y,40.00,,
คลิปบอร์ด--a4-พลาสติก-modela,12441,คลิปบอร์ด  A4 พลาสติก Modela,เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,40.00,,
คลิปบอร์ด--a4-มีปก,12439,คลิปบอร์ด  A4 มีปก,เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,49.00,,
คลิปบอร์ด--a4-มีปก-qf-s96,12440,คลิปบอร์ด  A4 มีปก QF-S96,เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,30.00,,
คลิปบอร์ด--a4-ไม้,12442,คลิปบอร์ด  A4 ไม้,เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,30.00,,
คลิปบอร์ด--a5-boran-br-9808,12443,คลิปบอร์ด  A5 boran BR-9808,เครื่องเขียน,,N,,,,,,,0.00,,,,N,Y,25.00,,
คอซอง ปากช่อง2 ม. ต้น,10631,คอซอง ปากช่อง2 ม. ต้น,เครื่องแต่งกาย,,N,,,,,,,22.00,,,,Y,Y,35.00,100.000,0.000
คอซอง ปากช่อง2 ม. ปลาย,10632,คอซอง ปากช่อง2 ม. ปลาย,เครื่องแต่งกาย,,N,,,,,,,30.00,,,,Y,Y,45.00,100.000,0.000
